init_world, World address input w, thread_count constant r, unique_data_count constant r, total_columnar_bytes local r, total_header_bytes local w, total_size local w, buffer_address local w, world_header_address input w, world_query_mask_address input w, world_columnar_table input w, world_owner_thread_id input w, ds_op_bytes constant r, dso_buffer_bytes constant r, total_size constant r, world_ds_ops_address input w, world_ds_buffer_address input w, register_columnar, world_address input rw, data_size constant r, data_alignment constant r, table_index constant r, start_constant r, end constant r, lane_count constant r, lane_mask constant r, indices_capacity constant r, simd_indices_capcity constant r, required_soa_aos_bytes constant r, cacheline_aligned_soa_aos_bytes constant r, occupying cacheline constant r, even cacheline constant r, required_target_bytes constant r, required_target_byter_per_core constant r, required_data_count constant r, full_mask_qword constant r, remaining_mask_bit_remaining constant r, enabled_data_bit_mask constant r, disabled_data_bit_mask constant r, header_target_end local w, header_target_flag local w, bit_zero_mask_address local rw, 
0, 140724023915328, 4, 28, 114688, 4096, 122880, 140165087465472, 140165087465472, 140165087469568, 140165087473664, 1626016, 4096, 131072, 135168, 140165086048256, 140165086052352, 0, 140724023915328, 12, 4, 1, 21, 300, 8, 12288, 279, 280, 3360, 3392, 53, 56, 3584, 896, 298, 4, 42, 15, 239, 319, 13073, 140165087477760
-1, -1, 4, -1, -1, -1, -1, 140165086048256, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 140724023915328, 12, 4, 2, 0, 19, 8, 12288, 19, 24, 288, 320, 5, 8, 512, 128, 42, 0, 42, 0, 254, 42, 13073, 140165087481856
-1, -1, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
